Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Tommy Mace","CLE","A+","23-24",3,6,4.2086330935251794,32,29,0,0,0,0,,139,584,122,70,65,17,56,0,4,8,1,127,"sa3018140"
"Ty Madden","DET","A+,AA","22-23",8,7,3.347560975609756,37,37,0,0,0,0,,164,685,142,71,61,23,55,0,8,4,0,184,"sa3018141"
"Mason Black","SFG","A,A+,AA","22-23",6,8,3.7729260155907522,35,35,0,0,0,0,,152.2,636,131,69,64,19,51,0,10,4,0,187,"sa3018146"
"Will Warren","NYY","A+,AA,AAA","23-24",14,12,4.029850889670347,37,37,0,0,0,0,,178.2,756,168,99,80,16,64,0,12,5,1,185,"sa3018149"
"Jack Leftwich","CLE","A,A+,AA","23-24",12,6,3.9558140938626343,34,21,1,0,0,0,,143.1,569,111,70,63,13,34,0,4,9,1,172,"sa3018169"
"Jordan Jackson","SEA","A,A+","23-24",8,12,4.426229607053431,32,29,0,0,0,0,,142.1,628,153,83,70,12,50,0,5,8,2,134,"sa3018172"
"Garrett Burhenn","DET","A,A+","22-23",7,8,3.8009713840862855,34,30,1,0,0,0,,137.1,581,138,69,58,15,40,0,6,4,0,141,"sa3018173"
"Mitch Myers","OAK","A,A+","23-24",4,12,5.325443786982248,33,31,0,0,0,0,,169,750,195,111,100,27,57,1,12,6,3,119,"sa3018179"
"Chad Dallas","TOR","A+,AA","22-23",5,7,3.7445255474452557,30,30,0,0,0,0,,137,598,108,70,57,15,72,0,8,3,2,143,"sa3018180"
"Richard Fitts","NYY","A,A+,AA","22-23",10,12,3.887159648469551,33,33,0,0,0,0,,171.1,696,149,78,74,22,35,0,5,4,1,196,"sa3018182"
"Reid Johnston","CLE","A,A+","23-24",8,9,4.038461538461538,34,25,0,0,0,0,,156,659,132,84,70,18,52,0,10,16,0,172,"sa3018183"
"Javi Rivera","CIN","A,A+","22-23",3,8,3.515970730172888,34,25,0,0,0,1,,135.2,558,103,61,53,12,43,0,13,5,2,147,"sa3018184"
"Sean Sullivan","PIT","A+,AA","21-22",4,5,4.019662749058466,29,24,0,0,1,0,,118.2,502,111,60,53,19,40,0,7,6,0,122,"sa3018185"
"Robby Ahlstrom","TEX","A,A+","23-24",3,11,5.142857230439479,38,17,0,0,2,1,,112,502,123,75,64,16,47,0,7,12,0,132,"sa3018193"
"Frank Mozzicato","KCR","A","19-20",3,9,3.4335261629810736,28,28,0,0,0,0,,115.1,491,79,56,44,10,76,0,3,19,0,163,"sa3018242"
"Ben Kudrna","KCR","A","19-20",6,8,3.6610169491525424,27,26,0,0,0,1,,118,509,115,53,48,7,52,0,2,11,1,105,"sa3018253"
"Shane Panzini","KCR","A","20-21",1,8,4.166172295462149,27,27,0,0,0,0,,112.1,484,108,61,52,11,61,0,3,2,3,112,"sa3018257"
"Anthony Solometo","PIT","A,A+","19-20",7,4,2.4545452197279767,25,20,0,0,0,0,,106.1,422,74,33,29,2,44,0,4,5,4,119,"sa3018259"
"Hunter Dobbins","BOS","A,A+","22-23",4,6,4.326923076923077,23,23,0,0,0,0,,104,436,109,57,50,7,26,0,5,6,1,104,"sa3018275"
"Armando Vasquez","ARI","A,CPX,DSL","21-22",3,4,4.453608028490124,23,9,0,0,1,0,,64.2,295,66,39,32,4,36,0,5,7,3,70,"sa3018283"
