Name,Team,Level,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,K%,BB%,ERA,FIP,WHIP,Pitches,Strikes,Oppo%,PlayerId
"Seth Lugo","NYM","A,A+,AA,AAA",12,13,4.705714393098989,53,42,1,0,0,0,,233.1,1026,265,144,122,24,62,1,9,12,0,213,8.215714473197416,0.20760234,0.06042885,4.705714393098989,3.8757336089858097,1.4014286034092618,3723,2421,0.28070175,"12447"
"Chasen Bradford","NYM","AAA",16,8,4.0754716078566595,190,0,0,0,25,10,,229.2,1006,279,120,104,20,49,5,7,10,0,179,7.014513632753289,0.17793241,0.04870775,4.0754716078566595,3.9122702221327414,1.428156717283103,3447,2302,0.30208333,"12452"
"Drew Rucinski","LAA","A+,AAA",15,29,5.013586982507223,106,55,0,0,2,3,,368,1597,422,221,205,40,108,1,13,17,1,291,7.1168478629736684,0.18221666,0.0676268,5.013586982507223,4.4480491596060485,1.4402173987690128,5888,3754,0.2982158,"12499"
"Taylor Hill","WSN","AA,AAA",17,45,5.385686027647448,96,90,2,0,0,0,,503,2228,621,336,301,70,124,2,23,10,0,291,5.206759581546203,0.13061041,0.0556553,5.385686027647448,4.7676272658092955,1.4811133593936319,7925,5028,0.28063241,"12515"
"Erik Johnson","CHW","AA,AAA",16,14,2.7931035361343994,57,30,1,0,0,3,,222.1,914,191,78,69,19,70,0,3,15,0,216,8.743628460942467,0.23632385,0.07658643,2.7931035361343994,3.378434462838131,1.1739130804043127,3480,2284,0.31089744,"12520"
"Nick Maronde","CLE","AA,AAA",0,10,4.178571428571429,73,13,0,0,5,1,,140,611,161,73,65,13,47,1,0,3,1,132,8.485714285714286,0.21603928,0.07692308,4.178571428571429,3.5285438637124638,1.4857142857142858,2298,1529,0.34338747,"12530"
"Drew Gagnon","MIL","AA,AAA",19,25,4.850612082653128,136,77,2,1,1,1,,517.2,2210,519,297,279,59,187,6,22,56,2,459,7.9800392327519205,0.20769231,0.08461538,4.850612082653128,4.578513222467504,1.3638120789936712,8386,5214,0.2724296,"12545"
"Nick Ramirez","MIL","AA,AAA",24,14,2.881670567018514,191,10,0,0,24,14,,287.1,1186,241,112,92,20,98,3,7,13,1,253,7.924594059300914,0.21332209,0.08263069,2.881670567018514,3.7825640638745552,1.1798143988155512,4542,2873,0.32524272,"12575"
"DJ Johnson","MIN","A+,AA,AAA",15,15,3.953975045283022,246,1,0,0,44,12,,318.2,1396,331,157,140,23,126,9,21,29,1,357,10.082636365471705,0.25573066,0.09025788,3.953975045283022,3.493582436368495,1.4341004727732864,5177,3372,0.34537246,"12578"
"Adam Morgan","PHI","AA,AAA",7,10,3.833333649262505,58,21,0,0,0,2,,162,687,161,83,69,14,46,1,9,2,1,131,7.277778377585336,0.19068413,0.06695779,3.833333649262505,3.762984695409871,1.2777778830875017,2469,1614,0.324,"12580"
"Mike Wright Jr.","BAL","AAA,R",29,26,3.6105806275867924,96,85,1,0,0,0,,453.2,1885,405,200,182,40,142,0,20,13,1,375,7.439383161236523,0.19893899,0.07533156,3.6105806275867924,3.953246637624736,1.2057311375396675,7082,4598,0.35014837,"12586"
"Jerad Eickhoff","TEX","A+,AA,AAA",30,18,4.4232084790648685,84,75,0,0,0,1,,390.2,1623,352,205,192,59,115,1,20,12,5,364,8.385666074893813,0.22427603,0.07085644,4.4232084790648685,4.596959317883367,1.1953925692843135,6012,3795,0.25245317,"12664"
"Roenis Elias","SEA","A-,A+,AA,AAA",23,20,5.076707244886912,98,61,1,0,1,2,,356.1,1555,370,219,201,46,128,0,22,13,14,302,7.627689492317649,0.19421222,0.08231511,5.076707244886912,4.7162809759802915,1.3975678319257503,5720,3609,0.29737081,"12673"
"Phil Klein","TEX","AAA",7,2,2.4141175928874836,40,21,0,0,0,1,,141.2,571,107,45,38,8,45,1,8,7,0,146,9.275293909515069,0.25569177,0.07880911,2.4141175928874836,3.2071659111014292,1.0729411523944372,2281,1473,0.3495935,"12675"
"Ryne Harper","ATL","A,AA,AAA",10,14,2.979563992532818,161,0,0,0,15,3,,244.2,999,201,100,81,12,76,2,7,13,1,308,11.329700119754419,0.30830831,0.07607608,2.979563992532818,2.547695780737668,1.132152573294363,3769,2478,0.29159802,"12680"
"Tyler Wilson","BAL","AAA",14,13,4.112068999323919,43,43,0,0,0,0,,232,977,248,111,106,19,56,0,11,10,1,151,5.857758668848224,0.15455476,0.05731832,4.112068999323919,3.8762811276934275,1.3103448383589846,3530,2301,0.32585752,"12691"
"Ryan Carpenter","COL","A+,AA,AAA,R",28,40,4.785844052679101,111,91,3,1,0,1,,551,2388,606,311,293,74,150,1,31,19,4,515,8.411978454367704,0.21566164,0.06281407,4.785844052679101,4.3770372052954,1.3720508546929846,8654,5624,0.29349112,"12699"
"Adrian Houser","HOU","A,A+,AA,AAA,R",15,19,4.268882199825518,80,73,0,0,0,1,,331,1420,337,178,157,33,108,0,19,25,2,305,8.29305140730435,0.21478873,0.07605634,4.268882199825518,4.133358586825144,1.3444108838799405,4945,3198,0.3485309,"12718"
"Nick Martinez","TEX","AA,AAA",12,7,3.3166985592921234,32,29,1,1,0,0,,173.2,712,172,70,64,12,32,0,11,7,0,115,5.959692723728034,0.16151685,0.04494382,3.3166985592921234,3.9972620555422385,1.174664073082627,2637,1702,0.25812274,"12730"
"Tyler Pill","NYM","AA,AAA",26,27,4.637554836224106,90,79,3,0,0,1,,458,1984,515,259,236,47,136,2,19,18,0,317,6.22925797916543,0.15977823,0.06854839,4.637554836224106,4.5076229287034515,1.4213974568652978,7100,4526,0.29025845,"12751"
"Jake Esch","MIA","A+,AA,AAA,R",21,27,4.179487224910195,64,62,3,1,0,0,,351,1502,360,177,163,26,114,3,17,8,1,251,6.4358975058433066,0.16711052,0.0758988,4.179487224910195,4.105548702839374,1.3504273651039076,5169,3348,0.29084381,"12756"
"Rafael Montero","NYM","A+,AA,AAA,R",10,11,4.5230769286071055,48,41,1,0,0,0,,195,849,199,111,98,20,77,4,5,5,3,190,8.76923077995255,0.2237927,0.09069494,4.5230769286071055,4.252071560131972,1.4153846171151487,3284,2091,0.32755633,"12760"
"Chris Devenski","HOU","AA,AAA,CPX",7,5,3.2494531006874054,54,22,0,0,2,2,,152.1,637,148,58,55,19,42,0,3,5,1,146,8.625820958188385,0.22919937,0.06593407,3.2494531006874054,4.005970266592205,1.2472648265264787,2378,1601,0.29596413,"12763"
"Jairo Diaz","COL","A-,A+,AAA,CPX",5,8,4.242857018577813,109,1,0,0,17,8,,116.2,509,99,59,55,8,66,1,7,7,2,117,9.025714021338256,0.22986248,0.12966601,4.242857018577813,4.465324465933881,1.414285672859271,1837,1119,0.3490566,"12774"
"John Brebbia","STL","AA,AAA",11,6,4.002695253163659,86,3,0,0,7,3,,123.2,530,123,56,55,16,33,1,9,4,0,148,10.770889044876755,0.27924528,0.06226415,4.002695253163659,3.8929998526537535,1.2614554737243047,2092,1391,0.36764706,"12777"
"Sam Gaviglio","SEA","AA,AAA,R",27,25,4.454806538295666,91,77,2,1,1,0,,464.2,1969,476,257,230,54,118,0,17,16,2,380,7.360115150227623,0.19299137,0.0599289,4.454806538295666,4.360954363607894,1.2783357892500609,7040,4616,0.2419244,"12778"
"Sean Gilmartin","NYM","AA,AAA,CPX,R",21,15,5.1154709682376485,109,45,1,0,1,3,,297.1,1288,322,181,169,36,94,0,5,15,0,272,8.233184043554084,0.21118012,0.07298137,5.1154709682376485,4.425516907438283,1.3991031708000405,4717,3038,0.27571116,"12781"
"Burch Smith","TBR","A+,AAA,R",12,7,2.805195013655255,35,29,0,0,0,0,,154,640,113,57,48,13,74,0,12,6,1,166,9.701299422224423,0.259375,0.115625,2.805195013655255,4.245527053897998,1.2142858045220664,2389,1540,0.35068493,"12784"
"Raul Alcantara","OAK","A+,AA,AAA,R",15,17,3.93260860596803,94,55,0,0,9,4,,306.2,1288,330,144,134,25,60,1,11,17,3,216,6.339130290217123,0.16770186,0.04658385,3.93260860596803,3.9326661742738755,1.2717391014324475,4683,3185,0.301,"12790"
"Michael Kelly","SDP","A,A+,AA,AAA",33,34,4.888214027356852,214,74,0,0,4,10,,548.2,2423,547,331,298,55,276,4,26,36,3,537,8.808627290908152,0.22162608,0.11390838,4.888214027356852,4.50847972746035,1.5000000538831801,8713,5374,0.31708861,"12791"
"Cody Anderson","CLE","A-,AA,AAA,R",4,7,2.7621484453888505,35,28,0,0,1,0,,130.1,531,119,46,40,9,33,0,7,9,1,119,8.21739162503183,0.22410546,0.06214689,2.7621484453888505,3.2927000256816843,1.166240454719737,1922,1269,0.34408602,"12799"
"Noe Ramirez","BOS","A+,AAA,CPX",11,7,2.7890108275226466,108,3,0,0,15,3,,151.2,621,122,51,47,14,53,1,6,7,0,169,10.02857084790058,0.27214171,0.08534622,2.7890108275226466,3.4378244298266694,1.153846087036556,2415,1560,0.30867347,"12800"
"Chris Reed","LAD","A,AA,AAA",8,7,4.134570783958394,66,11,0,0,1,0,,143.2,620,126,72,66,14,68,2,9,11,1,113,7.0788863422317965,0.18225806,0.10967742,4.134570783958394,4.871244426195208,1.3503480338180613,2332,1401,0.25348837,"12801"
"Matt Wisler","ATL","AAA,CPX",22,15,3.726114714753581,89,47,4,2,2,3,,314,1318,325,144,130,24,70,1,7,26,3,264,7.566879113038041,0.20030349,0.05311077,3.726114714753581,3.360893382444624,1.2579618054082602,4792,3094,0.28527607,"12804"
"Mike Clevinger","CLE","A,AA,AAA",23,11,2.840531561461794,56,55,1,0,0,0,,301,1224,247,101,95,21,93,0,11,21,1,304,9.08970099667774,0.24836601,0.07598039,2.840531561461794,3.1887720377821602,1.1295681063122924,4874,3118,0.32389163,"12808"
"Joel De La Cruz","NYY","AA,AAA",9,5,4.061946765530113,50,14,0,0,0,2,,150.2,642,157,78,68,12,51,2,9,4,1,89,5.3163715019438245,0.13862928,0.07943925,4.061946765530113,4.238040865497067,1.3805309268468358,2267,1428,0.23577236,"12825"
